customer_id,account_age_days,total_transactions,successful_transactions,failed_transactions,historical_success_rate,average_transaction_value,median_transaction_value,total_spend,days_since_last_success,previous_recovery_attempts,previous_recoveries,customer_segment
C100075,276,34,30,4,0.8944,1886.43,1660.52,58158.65,86,0,0,regular
C100076,700,24,22,2,0.9139,2395.14,2250.07,45473.19,87,1,0,regular
C100077,1068,19,17,2,0.8724,5517.92,4734.1,88404.74,60,1,0,regular
C100078,1144,43,38,5,0.894,6912.06,6618.42,283336.07,17,0,0,regular
C100079,929,41,36,5,0.8885,2785.34,2510.22,109034.51,2,0,0,regular
C100080,206,41,37,4,0.9098,3179.5,2749.52,131187.78,35,1,1,regular
C100081,334,44,40,4,0.9091,2282.49,1861.0,91251.51,30,0,0,regular
C100082,309,15,14,1,0.9583,12170.62,10239.46,149131.16,109,1,1,regular
C100083,43,4,3,1,0.7636,2885.43,2693.97,7687.08,100,0,0,new
C100084,50,4,4,0,0.8764,1492.5,1296.63,5512.06,38,0,0,new
C100085,35,4,3,1,0.8698,1446.46,1139.75,4172.99,45,2,2,new
C100086,693,29,27,2,0.9239,8735.98,7505.4,237750.83,89,0,0,regular
C100087,513,38,34,4,0.8955,2541.1,2205.49,90180.02,81,0,0,regular
C100088,18,3,3,0,0.8656,1895.62,1585.18,5111.07,106,1,1,new
C100089,340,30,28,2,0.9294,2089.33,1773.25,53042.6,87,0,0,regular
C100090,81,1,1,0,0.8414,4332.61,4112.43,3907.56,83,0,0,new
C100091,1198,31,28,3,0.8987,1607.85,1542.09,48462.95,93,1,0,regular
C100092,742,26,23,3,0.9034,4226.37,4269.21,91435.05,107,0,0,regular
C100093,321,26,24,2,0.9118,11933.38,9646.24,257764.91,45,0,0,regular
C100094,983,31,28,3,0.9066,6837.56,5844.84,187510.23,30,3,3,regular
C100095,1006,32,28,4,0.8765,5794.0,4626.45,149943.7,109,0,0,regular
C100096,1162,19,18,1,0.9559,2398.94,2224.28,41487.84,19,0,0,regular
C100097,33,2,1,1,0.6223,8069.32,6325.81,8853.69,35,1,1,new
C100098,85,2,2,0,0.9477,703.88,583.72,1337.62,16,0,0,new
C100099,623,20,18,2,0.9118,23256.53,21416.36,377784.65,100,0,0,high_value
C100100,392,45,44,1,0.9761,10142.13,8784.07,410435.49,110,0,0,high_value
C100101,317,12,10,2,0.7955,4703.72,4283.44,40466.44,50,1,1,regular
C100102,1078,47,45,2,0.9597,3800.14,3548.03,191585.11,11,0,0,regular
C100103,514,73,71,2,0.9687,18133.69,17795.42,1363570.31,28,0,0,high_value
C100104,617,38,32,6,0.8509,5257.68,4596.73,166396.35,69,0,0,regular
C100105,696,10,9,1,0.9299,4063.73,3441.72,37241.39,41,0,0,regular
C100106,939,48,42,6,0.8727,1926.44,1751.74,74941.45,90,1,1,regular
C100107,197,14,12,2,0.8645,7975.88,6354.57,92945.18,95,0,0,regular
C100108,34,2,1,1,0.6136,2828.35,2234.57,2675.48,52,0,0,new
C100109,212,74,72,2,0.9797,63372.43,56308.75,5007064.66,73,2,2,high_value
C100110,685,14,12,2,0.854,9130.58,7599.74,117568.35,7,1,1,regular
C100111,373,29,26,3,0.9068,5208.88,4071.95,126650.11,16,1,1,regular
C100112,124,40,35,5,0.8873,5270.46,4970.3,198978.66,40,0,0,regular
C100113,686,6,6,0,0.9592,7647.77,7463.29,40296.74,14,0,0,regular
C100114,27,2,2,0,0.7978,3668.97,2992.01,6683.18,1,1,1,new
C100115,686,40,32,8,0.7999,5367.07,4912.68,151465.37,82,1,1,regular
C100116,1176,16,16,0,0.9727,4018.57,4083.5,59248.13,2,0,0,regular
C100117,747,45,39,6,0.8734,14794.8,12494.23,529601.65,28,2,2,regular
C100118,639,46,43,3,0.9242,2897.35,2768.12,139557.16,86,0,0,regular
C100119,123,44,38,6,0.8537,7040.37,5765.39,253680.25,25,4,3,regular
C100120,696,49,46,3,0.9323,4279.18,4295.02,188292.61,27,0,0,regular
C100121,252,42,42,0,0.995,5911.54,4611.61,218471.77,89,0,0,regular
C100122,58,2,2,0,0.8483,2045.39,1740.09,3558.14,2,0,0,new
C100123,243,49,43,6,0.8824,3732.69,3786.24,146993.88,38,0,0,regular
C100124,16,1,1,0,0.8277,1484.22,1396.6,1321.5,64,2,2,new
C100125,404,31,25,6,0.8219,5277.29,4384.6,125781.84,8,1,1,regular
C100126,554,5,5,0,0.995,3062.7,2970.6,13871.17,78,0,0,regular
C100127,50,1,1,0,0.8074,4190.49,4171.8,3785.9,50,1,1,new
C100128,63,1,1,0,0.8159,2437.36,2186.17,2545.24,37,1,1,new
C100129,1110,47,40,7,0.849,3467.2,2834.25,157082.45,68,0,0,regular
C100130,34,1,1,0,0.7651,13774.65,11599.11,11760.03,4,0,0,new
C100131,812,90,89,1,0.9934,42861.45,43133.51,4049907.92,72,1,1,high_value
C100132,1178,28,24,4,0.8409,4422.55,3620.59,111210.47,55,0,0,regular
C100133,770,43,42,1,0.9768,3478.3,2973.45,149816.16,7,1,1,regular
C100134,107,29,26,3,0.9045,7062.96,5755.81,194230.94,94,0,0,regular
C100135,15,3,2,1,0.8103,2481.38,1998.36,4975.7,54,0,0,new
C100136,415,30,28,2,0.9466,23565.26,21333.3,744334.93,8,0,0,high_value
C100137,374,39,39,0,0.995,6428.58,5626.36,225008.17,43,0,0,regular
C100138,334,37,31,6,0.8267,3592.79,2842.18,110492.64,89,0,0,regular
C100139,90,3,2,1,0.6966,12540.11,10218.26,26231.68,53,1,0,new
C100140,489,7,7,0,0.9672,2877.54,2270.49,22612.5,46,0,0,regular
C100141,395,22,20,2,0.923,1932.22,1518.53,38498.71,5,0,0,regular
C100142,856,30,28,2,0.9254,34626.95,28492.19,1108296.89,7,0,0,high_value
C100143,451,23,22,1,0.9679,1239.16,1187.7,28541.28,35,3,3,regular
C100144,320,39,38,1,0.9707,11014.0,8629.96,443545.18,32,2,2,regular
C100145,576,33,31,2,0.9299,4783.3,4080.51,162437.49,77,0,0,regular
C100146,1134,38,33,5,0.8733,1911.5,1750.07,67506.01,56,0,0,regular
C100147,636,38,34,4,0.8825,2547.21,2441.47,87193.03,15,1,0,regular
C100148,741,49,45,4,0.9271,1688.13,1591.39,82178.96,78,0,0,regular
C100149,52,3,2,1,0.7694,1151.79,1171.63,1982.74,115,0,0,new
C100150,759,31,31,0,0.9897,2029.78,1717.5,71092.61,103,0,0,regular
C100151,314,44,44,0,0.995,6081.98,4744.15,293550.43,119,1,1,regular
C100152,28,4,4,0,0.995,1760.95,1389.69,7334.69,57,0,0,new
C100153,616,37,34,3,0.9314,3383.32,2718.18,100150.8,43,2,2,regular
C100154,74,3,3,0,0.8769,6200.84,6288.01,17458.04,6,0,0,new
C100155,230,48,48,0,0.995,6541.62,5997.43,290789.51,81,0,0,regular
C100156,180,27,27,0,0.995,8949.16,8697.22,224014.38,52,0,0,regular
C100157,458,13,10,3,0.8059,3076.55,3127.07,32353.99,76,2,1,regular
C100158,1102,37,33,4,0.8911,4420.23,4343.43,162327.51,36,0,0,regular
C100159,877,47,44,3,0.94,3073.7,2698.18,142611.92,20,0,0,regular
C100160,38,2,2,0,0.8328,3609.01,3573.68,6977.13,82,1,1,new
C100161,950,40,37,3,0.9196,15743.74,13919.04,664519.98,46,0,0,high_value
C100162,532,34,34,0,0.995,3489.01,2816.86,131530.06,63,0,0,regular
C100163,77,4,3,1,0.794,2046.66,1865.64,6481.53,117,2,1,new
C100164,555,29,26,3,0.9003,5366.06,5364.88,135225.96,33,2,2,regular
C100165,535,9,8,1,0.865,4507.99,4365.03,38052.74,15,2,2,regular
C100166,470,30,27,3,0.8983,6097.38,5344.12,160085.12,85,1,0,regular
C100167,118,30,27,3,0.8965,4220.19,4157.59,102158.13,69,0,0,regular
C100168,1037,43,42,1,0.9673,3177.92,2832.81,138230.84,47,0,0,regular
C100169,650,64,60,4,0.9302,47843.14,45178.18,3041189.74,71,2,2,high_value
C100170,152,20,15,5,0.753,2595.47,2231.98,37171.95,110,0,0,regular
C100171,531,8,7,1,0.8137,6331.72,5234.63,50030.39,20,0,0,regular
C100172,650,30,25,5,0.8483,3791.64,3242.73,104865.15,94,1,1,regular
C100173,1290,31,31,0,0.995,18335.52,18152.88,582529.09,64,1,1,high_value
C100174,24,3,2,1,0.7178,1753.95,1784.72,3045.1,96,0,0,new
C100175,20,2,2,0,0.8483,2377.9,2005.38,4066.99,110,0,0,new
C100176,913,47,39,8,0.8373,5657.76,4637.59,229912.42,19,0,0,regular
C100177,1467,69,64,5,0.9237,23682.37,18876.26,1658359.38,13,0,0,high_value
C100178,1006,30,25,5,0.8431,2970.28,2854.19,74264.76,0,1,1,regular
C100179,391,36,32,4,0.8767,7282.75,6603.42,199732.93,22,0,0,regular
C100180,991,5,4,1,0.8742,3826.51,3495.38,13675.17,41,1,1,regular
C100181,529,13,12,1,0.9513,1801.81,1424.96,19748.66,30,1,1,regular
C100182,79,22,19,3,0.8506,4002.92,3200.15,78970.47,98,2,2,regular
C100183,925,11,10,1,0.8885,5047.89,5045.42,50267.84,90,0,0,regular
C100184,1012,20,18,2,0.8773,2753.78,2529.11,43652.67,42,0,0,regular
C100185,451,11,11,0,0.9585,4191.96,3490.27,46134.76,69,0,0,regular
C100186,574,45,41,4,0.9007,4311.08,3577.29,196346.96,37,0,0,regular
C100187,17,2,2,0,0.8836,1934.82,1621.02,3798.95,60,0,0,new
C100188,193,19,16,3,0.8409,9439.12,7506.95,135157.4,34,2,1,regular
C100189,1194,40,36,4,0.907,2048.57,1622.35,75474.46,95,2,2,regular
C100190,1620,95,87,8,0.9186,31515.84,30028.18,3095075.04,27,3,3,high_value
C100191,693,31,26,5,0.8364,4412.21,3720.83,101498.98,117,0,0,regular
C100192,48,4,3,1,0.7925,9100.72,7938.3,24487.92,111,1,1,new
C100193,845,41,41,0,0.995,4858.74,4416.43,203203.03,23,1,1,regular
C100194,38,2,2,0,0.9275,1063.95,911.61,2025.76,68,1,1,new
C100195,41,3,2,1,0.8113,2790.58,2497.31,6243.46,97,1,1,new
C100196,751,39,32,7,0.8313,3285.48,3244.75,111845.96,101,0,0,regular
C100197,1003,40,33,7,0.8224,8168.7,6850.14,241026.93,44,0,0,regular
C100198,54,3,2,1,0.7944,2482.45,2407.73,5517.07,65,1,1,new
C100199,1042,48,42,6,0.883,2692.94,2271.09,117931.76,17,2,1,regular
C100200,323,17,15,2,0.8857,4967.85,4097.82,74375.5,30,1,1,regular
C100201,866,99,92,7,0.9337,8362.95,6668.94,713198.38,30,0,0,high_value
C100202,993,13,11,2,0.8111,5869.15,5541.7,67460.28,34,0,0,regular
C100203,63,4,3,1,0.8032,898.89,789.94,3019.04,47,1,1,new
C100204,50,1,1,0,0.606,1717.8,1657.51,1479.96,82,0,0,new
C100205,85,11,9,2,0.8285,6218.4,5048.36,53869.44,107,1,1,regular
C100206,66,2,1,1,0.7442,8008.48,7406.27,9055.17,69,0,0,new
C100207,760,31,29,2,0.9276,3657.93,2864.58,102353.58,57,1,1,regular
C100208,48,4,3,1,0.7529,5584.8,4669.56,14421.54,84,2,2,new
C100209,1001,29,27,2,0.9305,3476.93,3220.73,82652.49,73,0,0,regular
C100210,309,32,26,6,0.8187,5700.28,4522.88,156688.83,53,0,0,regular
C100211,573,13,13,0,0.9633,3912.56,3406.02,53916.89,3,1,1,regular
C100212,45,2,2,0,0.9423,931.09,851.76,1647.12,65,0,0,new
C100213,247,44,40,4,0.9133,7838.6,7482.89,287132.44,7,0,0,regular
C100214,997,5,5,0,0.9775,5026.28,4771.74,25612.97,73,0,0,regular
C100215,388,48,43,5,0.8902,1393.03,1136.11,63252.46,112,1,1,regular
C100216,73,1,1,0,0.9114,1164.45,929.28,1044.56,95,1,1,new
C100217,62,3,3,0,0.8995,3613.54,3144.95,10698.75,100,1,1,new
C100218,883,82,74,8,0.9059,13254.7,11104.7,999101.76,55,0,0,high_value
C100219,1013,14,12,2,0.8684,5045.87,4305.97,52370.75,58,0,0,regular
C100220,457,30,27,3,0.9032,5108.69,4404.69,126503.52,63,0,0,regular
C100221,255,14,14,0,0.9727,1648.12,1442.63,25973.25,24,2,2,regular
C100222,542,40,36,4,0.9053,7292.43,6595.74,292453.99,117,0,0,regular
C100223,225,79,76,3,0.9673,10952.15,8567.14,788036.13,4,0,0,high_value
C100224,915,48,46,2,0.9568,5577.06,4748.98,284865.68,118,1,1,regular
C100225,1274,73,68,5,0.9294,20979.96,17695.5,1483368.1,117,0,0,high_value
C100226,33,2,2,0,0.982,6928.17,5796.76,15858.4,112,0,0,new
C100227,1127,31,28,3,0.9096,9577.54,9283.21,305679.07,0,1,1,regular
C100228,154,6,5,1,0.837,4132.99,3473.0,21389.91,114,2,1,regular
C100229,29,4,4,0,0.9325,3106.93,2535.97,12307.82,28,0,0,new
C100230,18,4,3,1,0.8017,4721.82,4648.34,12645.29,31,0,0,new
C100231,1116,26,25,1,0.9657,10665.62,9299.42,269068.28,82,1,0,regular
C100232,630,47,45,2,0.952,37650.56,31030.39,1642582.24,47,0,0,high_value
C100233,745,9,9,0,0.955,20766.61,19941.96,195063.6,112,0,0,regular
C100234,188,60,58,2,0.9703,22583.37,21176.92,1148525.69,59,1,1,high_value
C100235,934,23,21,2,0.9348,8482.71,8541.0,196035.17,14,0,0,regular
C100236,1141,26,24,2,0.9267,3620.6,3586.83,99071.4,28,1,1,regular
C100237,121,23,21,2,0.9345,6910.84,6542.05,132473.74,92,0,0,regular
C100238,83,1,1,0,0.6624,2024.47,1657.31,2105.11,69,0,0,new
C100239,82,3,2,1,0.651,1049.21,940.05,2288.5,39,1,1,new
C100240,853,39,34,5,0.8626,840.28,679.37,29035.84,26,0,0,regular
C100241,769,29,25,4,0.8483,20259.57,18473.8,572652.54,81,0,0,regular
C100242,698,12,12,0,0.9764,4701.55,4701.68,56619.43,31,0,0,regular
C100243,409,44,44,0,0.995,769.48,600.9,31526.53,11,0,0,regular
C100244,181,17,13,4,0.7799,5395.92,5343.27,69549.27,66,0,0,regular
C100245,552,5,5,0,0.995,6806.17,6189.78,33906.97,103,0,0,regular
C100246,356,6,5,1,0.9152,2930.08,2391.82,13567.92,37,0,0,regular
C100247,691,39,38,1,0.9708,2941.93,2899.0,121417.02,84,0,0,regular
C100248,968,22,21,1,0.9404,4446.74,4041.45,96680.25,53,0,0,regular
C100249,689,6,6,0,0.995,9259.35,8218.23,53395.56,114,0,0,regular
C100250,724,41,38,3,0.9226,4778.15,4300.01,177302.25,72,1,1,regular
C100251,107,18,15,3,0.8282,10826.67,8827.73,156149.33,60,1,1,regular
C100252,794,49,44,5,0.9037,8871.19,7159.56,384231.28,27,0,0,regular
C100253,561,44,41,3,0.9409,3922.8,3682.62,162190.51,106,0,0,regular
C100254,201,7,6,1,0.897,1753.76,1738.5,9988.85,5,0,0,regular
C100255,303,36,34,2,0.9495,3927.78,3718.31,146291.02,64,1,1,regular
C100256,950,32,29,3,0.9061,6171.65,6059.26,201978.44,31,0,0,regular
C100257,31,2,2,0,0.7908,4591.97,4512.74,9246.76,61,0,0,new
C100258,63,4,3,1,0.6609,3126.11,2462.41,9973.01,117,0,0,new
C100259,1173,27,24,3,0.8865,7554.39,7290.21,204723.19,11,2,2,regular
C100260,90,3,3,0,0.8716,1910.23,1843.95,5201.06,6,0,0,new
C100261,401,37,29,8,0.7924,3814.77,3295.94,100330.68,97,0,0,regular
C100262,1120,17,15,2,0.8632,6147.27,5399.54,80386.26,83,0,0,regular
C100263,48,4,4,0,0.8751,936.22,897.76,3679.85,49,0,0,new
C100264,937,95,91,4,0.9533,30715.03,31230.22,2653481.42,26,0,0,high_value
C100265,81,3,2,1,0.7452,7670.37,7801.37,15619.34,72,0,0,new
C100266,437,10,8,2,0.8388,13507.96,12072.37,106477.4,30,0,0,regular
C100267,59,4,3,1,0.7149,2645.03,2564.33,7197.59,78,0,0,new
C100268,65,3,2,1,0.7496,4576.63,4081.69,8854.45,48,1,0,new
C100269,50,1,1,0,0.7226,987.63,975.61,848.05,92,0,0,new
C100270,22,1,1,0,0.8294,1274.63,1192.97,1288.92,79,1,1,new
C100271,43,4,4,0,0.9453,1902.28,1911.4,7086.51,69,0,0,new
C100272,27,3,3,0,0.974,5136.97,5236.3,13618.73,11,1,1,new
C100273,123,7,6,1,0.8156,4339.72,3728.88,22647.01,74,2,1,regular
C100274,326,16,15,1,0.9117,3702.86,3758.54,59116.18,83,0,0,regular
C100275,105,31,29,2,0.9339,9891.65,9359.51,265114.61,62,0,0,regular
C100276,1036,42,41,1,0.9757,4207.23,3522.04,180714.06,71,1,1,regular
C100277,319,39,34,5,0.8759,3407.88,2660.69,126834.97,73,1,1,regular
C100278,448,28,26,2,0.9216,3442.69,3250.31,89509.46,28,1,1,regular
C100279,1020,6,6,0,0.9195,3667.4,3056.31,19582.07,53,1,1,regular
C100280,66,2,2,0,0.872,7073.75,5910.33,14633.66,15,0,0,new
C100281,67,1,1,0,0.8098,2263.35,2065.35,1972.47,93,0,0,new
C100282,103,8,7,1,0.8587,4829.19,3802.61,37020.59,17,0,0,regular
C100283,701,36,33,3,0.9268,5735.68,5046.99,204128.53,97,0,0,regular
C100284,699,36,33,3,0.9217,9267.38,9006.5,296840.02,76,1,1,regular
C100285,423,38,34,4,0.8836,5200.03,4090.05,164553.82,62,1,1,regular
C100286,31,1,1,0,0.822,1144.75,1064.33,1216.72,60,2,1,new
C100287,1119,16,16,0,0.9717,2453.35,2006.87,40045.03,17,1,0,regular
C100288,355,13,12,1,0.9506,5369.69,5300.32,57575.56,78,1,1,regular
C100289,31,3,2,1,0.739,781.25,682.63,1683.99,44,0,0,new
C100290,427,28,26,2,0.916,4278.01,4170.67,105688.17,94,1,1,regular
C100291,81,4,3,1,0.8544,2351.48,2242.64,7887.94,100,2,2,new
C100292,1382,57,56,1,0.9799,24727.6,24497.15,1521614.38,110,2,2,high_value
C100293,68,4,2,2,0.5989,2541.28,2297.44,4740.73,110,0,0,new
C100294,943,30,30,0,0.9866,4062.37,3642.59,112922.85,91,0,0,regular
C100295,828,50,45,5,0.9082,32421.0,25579.63,1414253.09,32,1,1,high_value
C100296,1592,98,92,6,0.9397,20281.44,18417.89,2036332.1,32,2,2,high_value
C100297,1079,19,18,1,0.9731,7485.99,6776.87,119817.25,112,1,1,regular
C100298,937,44,39,5,0.8938,3490.08,3230.19,128601.89,115,1,1,regular
C100299,375,12,11,1,0.8845,2006.62,1628.26,23126.41,33,3,2,regular
C100300,117,8,8,0,0.995,9023.41,8207.62,62084.46,77,0,0,regular
C100301,90,1,1,0,0.8949,2966.84,2637.43,2571.57,110,4,4,new
C100302,226,23,19,4,0.8287,4596.18,4242.43,94195.85,101,0,0,regular
C100303,160,45,44,1,0.9704,6042.24,5670.84,267640.69,112,1,1,regular
C100304,1179,12,11,1,0.9186,4508.7,3907.88,50452.73,42,1,1,regular
C100305,600,40,40,0,0.995,1017.34,916.6,37627.83,60,1,1,regular
C100306,801,36,33,3,0.9246,5688.07,4976.05,189495.95,71,0,0,regular
C100307,307,20,18,2,0.9088,9973.74,9611.87,181951.19,114,1,1,regular
C100308,175,20,20,0,0.995,7213.81,7005.63,140543.91,117,1,1,regular
C100309,45,1,1,0,0.8593,941.64,800.68,1072.83,65,1,1,new
C100310,463,37,32,5,0.8749,16125.86,13582.66,446249.78,102,3,3,regular
C100311,64,15,13,2,0.8568,2031.08,1914.89,25730.14,45,1,1,regular
C100312,538,46,36,10,0.7783,2356.14,2275.48,93917.85,72,1,0,regular
C100313,430,23,22,1,0.9624,7193.69,5629.84,144315.31,97,0,0,regular
C100314,660,8,7,1,0.8766,5904.9,5211.57,46728.38,106,0,0,regular
C100315,732,41,40,1,0.9643,4722.22,4032.09,184666.51,13,1,1,regular
C100316,411,44,41,3,0.9333,3197.71,3082.48,117599.37,8,1,1,regular
C100317,578,24,23,1,0.9464,10000.06,8144.55,201925.15,25,1,1,regular
C100318,149,36,32,4,0.8827,4395.06,4249.06,133345.63,12,0,0,regular
C100319,1508,64,63,1,0.9769,15942.1,14965.44,1130817.2,25,1,1,high_value
C100320,435,82,82,0,0.995,25741.1,25285.56,2388819.1,113,1,1,high_value
C100321,1189,21,20,1,0.9652,5132.78,5223.42,104604.04,74,1,1,regular
C100322,613,17,15,2,0.907,8785.31,7857.35,116685.27,11,0,0,regular
C100323,1131,27,23,4,0.8679,6344.62,6013.8,144025.88,85,0,0,regular
C100324,631,17,14,3,0.8381,18897.9,17960.39,258043.15,112,1,1,regular
C100325,203,32,30,2,0.9222,3736.3,3671.65,103045.64,100,0,0,regular
C100326,1049,38,33,5,0.8768,4543.66,4109.06,130869.83,102,0,0,regular
C100327,533,23,21,2,0.9057,6930.8,5585.09,140375.91,107,0,0,regular
C100328,758,40,36,4,0.8957,3750.17,3806.6,129816.13,90,0,0,regular
C100329,799,24,21,3,0.8833,7283.85,5780.76,162321.2,105,1,0,regular
C100330,411,48,45,3,0.9276,767.69,776.11,33449.79,95,0,0,regular
C100331,896,16,15,1,0.9433,4307.71,3624.02,55177.95,81,1,1,regular
C100332,631,36,36,0,0.995,4230.34,3799.67,130362.95,23,1,1,regular
C100333,477,29,28,1,0.9555,4139.39,4173.16,122422.98,109,1,1,regular
C100334,58,2,1,1,0.648,1351.48,1273.63,1416.67,10,0,0,new
C100335,910,14,12,2,0.8609,7750.45,7134.56,83528.7,33,0,0,regular
C100336,69,1,1,0,0.6295,10233.62,8782.64,11357.96,86,0,0,new
C100337,201,44,40,4,0.9091,5074.57,4314.29,212885.74,87,1,1,regular
