transaction_id,customer_id,order_id,amount,currency,payment_method,timestamp,status,failure_reason,failure_source,failure_step,attempt_number,checkout_started,checkout_duration_sec,is_subscription,subscription_status,device_type,is_new_device,hour_of_day,day_of_week
TXN1000014,C102233,order_1000014,35387.31,INR,upi,2026-06-24 12:23:46,success,,,,1,False,73.9,False,,desktop,False,12,2
TXN1000015,C102128,order_1000015,3285.26,INR,upi,2026-06-27 12:08:34,success,,,,1,False,64.3,False,,desktop,False,12,5
TXN1000016,C101172,order_1000016,3024.66,INR,upi,2026-01-24 11:20:08,failed,insufficient_funds,customer,authentication,1,True,121.6,False,,desktop,False,11,5
TXN1000017,C101544,order_1000017,14503.76,INR,upi,2026-03-05 00:11:35,failed,issuer_decline,issuer,authorization,2,True,143.6,False,,mobile,False,0,3
TXN1000018,C102346,order_1000018,11490.86,INR,card,2026-03-13 01:06:19,failed,insufficient_funds,customer,authorization,1,True,8.0,False,,mobile,False,1,4
TXN1000019,C100501,order_1000019,11778.68,INR,card,2026-01-27 13:21:29,success,,,,1,False,57.6,False,,mobile,False,13,1
TXN1000020,C101945,order_1000020,116967.92,INR,upi,2026-06-16 13:46:26,abandoned,,,,1,True,51.3,False,,desktop,False,13,1
TXN1000021,C100907,order_1000021,724.47,INR,netbanking,2026-03-07 15:28:37,success,,,,1,False,97.4,False,,mobile,False,15,5
TXN1000022,C100232,order_1000022,70934.53,INR,wallet,2026-05-26 01:21:30,failed,limit_exceeded,customer,payment_initiation,3,True,125.4,False,,mobile,False,1,1
TXN1000023,C101043,order_1000023,4914.43,INR,upi,2026-01-15 16:33:29,success,,,,1,False,166.0,False,,mobile,False,16,3
TXN1000024,C101295,order_1000024,4681.49,INR,upi,2026-03-11 20:57:24,success,,,,1,False,43.8,False,,mobile,False,20,2
TXN1000025,C101849,order_1000025,2884.05,INR,upi,2026-04-18 12:40:44,abandoned,,,,1,True,16.6,False,,desktop,True,12,5
TXN1000026,C100379,order_1000026,1476.35,INR,netbanking,2026-02-04 05:20:33,failed,insufficient_funds,customer,authentication,1,True,92.7,False,,mobile,False,5,2
TXN1000027,C101370,order_1000027,1576.45,INR,upi,2026-04-18 22:35:33,success,,,,1,False,19.1,False,,mobile,False,22,5
TXN1000028,C101653,order_1000028,2727.58,INR,card,2026-03-19 06:26:28,failed,authentication_failed,customer,payment_initiation,2,True,100.8,False,,mobile,False,6,3
TXN1000029,C101591,order_1000029,5755.8,INR,card,2026-03-01 18:25:58,success,,,,1,False,36.4,False,,mobile,False,18,6
TXN1000030,C102081,order_1000030,1055.95,INR,upi,2026-03-13 08:29:53,success,,,,1,False,72.8,False,,mobile,False,8,4
TXN1000031,C101882,order_1000031,2130.27,INR,upi,2026-02-26 12:50:58,success,,,,1,False,113.5,False,,mobile,False,12,3
TXN1000032,C101163,order_1000032,583.03,INR,card,2026-02-20 07:59:38,success,,,,1,False,75.0,False,,mobile,False,7,4
TXN1000033,C100684,order_1000033,17384.08,INR,upi,2026-01-07 11:14:19,success,,,,1,False,5.0,False,,mobile,False,11,2
TXN1000034,C102201,order_1000034,12668.15,INR,upi,2026-04-09 07:52:57,failed,issuer_decline,issuer,capture,3,True,121.4,False,,mobile,False,7,3
TXN1000035,C102204,order_1000035,1603.29,INR,netbanking,2026-04-30 20:28:09,failed,network_error,network,authentication,2,True,131.2,False,,desktop,False,20,3
TXN1000036,C100324,order_1000036,18923.2,INR,upi,2026-06-18 04:34:07,success,,,,1,False,53.4,False,,mobile,False,4,3
TXN1000037,C101133,order_1000037,2525.68,INR,card,2026-02-15 02:24:51,success,,,,1,False,113.2,False,,mobile,False,2,6
TXN1000038,C101879,order_1000038,1889.67,INR,upi,2026-03-20 13:35:46,success,,,,1,False,29.1,False,,mobile,False,13,4
TXN1000039,C101652,order_1000039,2718.13,INR,upi,2026-03-27 04:35:37,subscription_failed,network_error,network,authentication,1,True,86.2,True,halted,desktop,False,4,4
TXN1000040,C102187,order_1000040,30100.03,INR,upi,2026-04-27 08:12:17,failed,limit_exceeded,customer,capture,4,True,145.3,False,,mobile,False,8,0
TXN1000041,C100545,order_1000041,1578.88,INR,upi,2026-04-02 03:02:18,abandoned,,,,1,True,175.6,False,,mobile,False,3,3
TXN1000042,C102353,order_1000042,2345.74,INR,upi,2026-03-24 02:36:04,failed,insufficient_funds,customer,capture,1,True,117.9,False,,mobile,False,2,1
TXN1000043,C100583,order_1000043,13116.75,INR,wallet,2026-05-22 18:33:52,failed,authentication_failed,customer,authentication,1,True,161.0,False,,mobile,False,18,4
TXN1000044,C100239,order_1000044,1251.81,INR,upi,2026-01-26 01:43:14,success,,,,1,False,24.8,False,,mobile,False,1,0
TXN1000045,C101837,order_1000045,6580.42,INR,upi,2026-04-24 23:23:10,abandoned,,,,1,True,130.2,False,,desktop,False,23,4
TXN1000046,C102319,order_1000046,25727.23,INR,netbanking,2026-02-04 09:50:24,failed,limit_exceeded,customer,authentication,2,True,134.2,False,,desktop,False,9,2
TXN1000047,C100876,order_1000047,5835.37,INR,card,2026-06-24 17:17:11,success,,,,1,False,54.9,False,,mobile,False,17,2
TXN1000048,C100399,order_1000048,7348.94,INR,wallet,2026-05-03 21:35:32,success,,,,1,False,55.9,False,,mobile,False,21,6
TXN1000049,C102189,order_1000049,29045.68,INR,upi,2026-04-24 18:29:18,success,,,,1,False,93.7,False,,mobile,False,18,4
TXN1000050,C100237,order_1000050,6825.08,INR,upi,2026-06-06 21:28:53,success,,,,1,False,21.6,False,,desktop,False,21,5
TXN1000051,C101661,order_1000051,25767.3,INR,card,2026-03-06 07:11:48,subscription_failed,insufficient_funds,customer,authorization,2,True,144.3,True,pending,desktop,False,7,4
TXN1000052,C100316,order_1000052,2828.51,INR,card,2026-01-18 19:16:05,success,,,,1,False,47.7,False,,mobile,False,19,6
TXN1000053,C101663,order_1000053,2346.48,INR,upi,2026-06-06 13:30:47,success,,,,1,False,57.4,False,,mobile,False,13,5
TXN1000054,C100284,order_1000054,6499.82,INR,netbanking,2026-06-16 19:45:26,success,,,,1,False,37.1,False,,mobile,False,19,1
TXN1000055,C100950,order_1000055,8498.11,INR,card,2026-04-03 20:38:25,success,,,,1,False,28.4,False,,desktop,False,20,4
TXN1000056,C101162,order_1000056,1665.11,INR,upi,2026-03-22 09:54:08,failed,issuer_decline,issuer,capture,1,True,8.0,False,,mobile,False,9,6
TXN1000057,C102256,order_1000057,14486.61,INR,card,2026-02-03 18:41:12,success,,,,1,False,40.6,False,,mobile,False,18,1
TXN1000058,C101777,order_1000058,10011.38,INR,upi,2026-02-12 19:49:25,success,,,,1,False,88.2,False,,desktop,False,19,3
TXN1000059,C102361,order_1000059,677.53,INR,upi,2026-04-12 17:10:56,abandoned,,,,1,True,23.2,False,,mobile,False,17,6
TXN1000060,C101349,order_1000060,1230.06,INR,upi,2026-01-31 02:56:27,success,,,,1,False,61.2,False,,mobile,False,2,5
TXN1000061,C100644,order_1000061,1935.59,INR,upi,2026-01-23 02:23:28,success,,,,1,False,109.5,False,,mobile,False,2,4
TXN1000062,C101061,order_1000062,2031.63,INR,upi,2026-02-19 13:00:51,success,,,,1,False,73.5,False,,tablet,False,13,3
TXN1000063,C101286,order_1000063,10202.04,INR,card,2026-03-04 03:38:25,success,,,,1,False,5.0,False,,desktop,False,3,2
TXN1000064,C101409,order_1000064,22070.68,INR,netbanking,2026-02-13 15:59:52,success,,,,1,False,47.4,False,,mobile,False,15,4
TXN1000065,C102267,order_1000065,5787.08,INR,upi,2026-01-06 11:48:03,failed,issuer_decline,issuer,authorization,1,True,148.5,False,,desktop,False,11,1
TXN1000066,C102242,order_1000066,4619.31,INR,upi,2026-02-28 12:55:08,success,,,,1,False,71.7,False,,mobile,False,12,5
TXN1000067,C100253,order_1000067,7374.69,INR,card,2026-01-15 02:09:59,abandoned,,,,1,True,140.6,False,,mobile,False,2,3
TXN1000068,C101985,order_1000068,8046.19,INR,upi,2026-05-16 03:06:14,success,,,,1,False,105.9,False,,desktop,False,3,5
TXN1000069,C100743,order_1000069,436.58,INR,upi,2026-02-09 07:57:43,success,,,,1,False,121.2,False,,mobile,False,7,0
TXN1000070,C101469,order_1000070,3288.2,INR,upi,2026-01-05 16:48:49,failed,authentication_failed,customer,authorization,2,True,38.2,False,,mobile,False,16,0
TXN1000071,C102386,order_1000071,26626.94,INR,card,2026-04-22 22:55:29,failed,insufficient_funds,customer,authentication,1,True,94.6,False,,mobile,False,22,2
TXN1000072,C102205,order_1000072,8822.76,INR,netbanking,2026-03-11 03:57:44,subscription_failed,limit_exceeded,customer,authentication,4,True,52.0,True,pending,mobile,False,3,2
TXN1000073,C101212,order_1000073,4101.17,INR,upi,2026-03-30 18:49:23,success,,,,1,False,18.7,False,,desktop,False,18,0
TXN1000074,C100114,order_1000074,6544.24,INR,card,2026-04-22 15:39:46,success,,,,1,False,62.6,False,,mobile,False,15,2
TXN1000075,C102378,order_1000075,4836.55,INR,card,2026-03-19 22:28:19,subscription_failed,network_error,network,payment_initiation,3,True,252.4,True,pending,mobile,False,22,3
TXN1000076,C102268,order_1000076,7295.44,INR,wallet,2026-01-19 05:58:15,success,,,,1,False,62.9,False,,desktop,False,5,0
TXN1000077,C100950,order_1000077,13011.26,INR,card,2026-04-13 19:42:09,failed,authentication_failed,customer,authentication,1,True,118.4,False,,mobile,False,19,0
TXN1000078,C100343,order_1000078,2476.99,INR,upi,2026-04-11 22:49:29,success,,,,1,False,97.6,False,,mobile,False,22,5
TXN1000079,C101318,order_1000079,21668.72,INR,upi,2026-02-05 04:25:23,success,,,,1,False,82.1,False,,mobile,False,4,3
TXN1000080,C102004,order_1000080,3303.69,INR,upi,2026-05-15 15:09:46,subscription_failed,limit_exceeded,customer,authorization,3,True,46.3,True,pending,mobile,False,15,4
TXN1000081,C101135,order_1000081,23330.72,INR,upi,2026-05-03 19:27:47,subscription_failed,network_error,network,authentication,2,True,95.0,True,halted,mobile,False,19,6
TXN1000082,C100052,order_1000082,9471.3,INR,card,2026-05-02 14:31:52,subscription_failed,issuer_decline,issuer,payment_initiation,2,True,95.9,True,pending,mobile,False,14,5
TXN1000083,C101143,order_1000083,1090.4,INR,upi,2026-04-08 22:53:44,failed,issuer_decline,issuer,authorization,1,True,8.0,False,,mobile,False,22,2
TXN1000084,C101287,order_1000084,3129.59,INR,card,2026-04-25 09:27:12,success,,,,1,False,26.3,False,,mobile,False,9,5
TXN1000085,C102294,order_1000085,3451.07,INR,upi,2026-01-26 02:26:49,success,,,,1,False,78.9,False,,desktop,False,2,0
TXN1000086,C102019,order_1000086,18630.19,INR,netbanking,2026-01-22 09:26:47,success,,,,1,False,115.4,False,,tablet,False,9,3
TXN1000087,C101736,order_1000087,8739.76,INR,upi,2026-04-10 17:41:29,failed,issuer_decline,issuer,capture,2,True,80.7,False,,mobile,False,17,4
TXN1000088,C101011,order_1000088,2099.67,INR,card,2026-05-17 05:21:42,failed,authentication_failed,customer,authorization,3,True,15.0,False,,desktop,False,5,6
TXN1000089,C102364,order_1000089,1999.72,INR,card,2026-01-21 07:05:48,failed,limit_exceeded,customer,authentication,2,True,120.2,False,,mobile,False,7,2
TXN1000090,C100578,order_1000090,4205.6,INR,card,2026-04-22 12:12:09,success,,,,1,False,111.6,False,,mobile,False,12,2
TXN1000091,C100823,order_1000091,3092.76,INR,upi,2026-05-02 08:54:34,success,,,,1,False,30.3,False,,mobile,False,8,5
TXN1000092,C102115,order_1000092,8699.35,INR,card,2026-06-29 19:43:05,failed,issuer_decline,issuer,payment_initiation,2,True,95.4,False,,desktop,False,19,0
TXN1000093,C102484,order_1000093,2575.03,INR,netbanking,2026-02-10 15:55:28,subscription_failed,authentication_failed,customer,authentication,1,True,139.2,True,pending,mobile,False,15,1
TXN1000094,C102036,order_1000094,16629.65,INR,card,2026-05-22 07:33:39,success,,,,1,False,8.5,False,,desktop,False,7,4
TXN1000095,C101769,order_1000095,3134.09,INR,upi,2026-01-09 19:09:44,success,,,,1,False,83.6,False,,desktop,False,19,4
TXN1000096,C102344,order_1000096,6504.04,INR,upi,2026-05-20 15:09:22,abandoned,,,,1,True,96.8,False,,mobile,False,15,2
TXN1000097,C100328,order_1000097,4433.41,INR,card,2026-02-03 18:11:07,failed,insufficient_funds,customer,authentication,1,True,137.2,False,,mobile,False,18,1
TXN1000098,C101672,order_1000098,1794.49,INR,upi,2026-03-24 15:45:40,failed,limit_exceeded,customer,capture,3,True,46.7,False,,mobile,False,15,1
TXN1000099,C101032,order_1000099,2832.21,INR,card,2026-03-28 22:18:58,abandoned,,,,1,True,57.3,False,,desktop,False,22,5
TXN1000100,C101495,order_1000100,19201.99,INR,netbanking,2026-06-20 00:03:24,failed,network_error,network,capture,2,True,175.3,False,,mobile,False,0,5
TXN1000101,C100621,order_1000101,2542.74,INR,upi,2026-05-09 02:08:39,failed,issuer_decline,issuer,authorization,2,True,175.6,False,,desktop,False,2,5
TXN1000102,C101222,order_1000102,7208.49,INR,upi,2026-03-30 10:48:49,failed,technical_error,system,authorization,2,True,8.0,False,,desktop,False,10,0
TXN1000103,C100588,order_1000103,1907.47,INR,upi,2026-03-08 17:35:19,success,,,,1,False,19.0,False,,mobile,False,17,6
TXN1000104,C101608,order_1000104,6416.9,INR,upi,2026-06-26 09:01:52,success,,,,1,False,62.3,False,,mobile,False,9,4
TXN1000105,C102323,order_1000105,2398.99,INR,upi,2026-03-07 18:52:48,success,,,,1,False,5.0,False,,tablet,False,18,5
TXN1000106,C100146,order_1000106,998.79,INR,upi,2026-06-01 15:56:45,failed,issuer_decline,issuer,payment_initiation,3,True,86.8,False,,mobile,False,15,0
TXN1000107,C102399,order_1000107,15130.39,INR,upi,2026-03-21 02:02:20,success,,,,1,False,155.6,False,,mobile,False,2,5
TXN1000108,C101648,order_1000108,14988.85,INR,upi,2026-02-05 15:10:16,abandoned,,,,1,True,66.9,False,,mobile,False,15,3
TXN1000109,C100035,order_1000109,3544.54,INR,upi,2026-06-05 23:01:38,success,,,,1,False,83.1,False,,desktop,True,23,4
TXN1000110,C101447,order_1000110,2312.47,INR,upi,2026-01-17 23:31:24,failed,limit_exceeded,customer,authentication,2,True,169.9,False,,mobile,False,23,5
TXN1000111,C100345,order_1000111,3425.22,INR,upi,2026-05-25 02:33:52,success,,,,1,False,65.3,False,,mobile,False,2,0
TXN1000112,C102006,order_1000112,11625.01,INR,wallet,2026-05-24 08:53:49,success,,,,1,False,72.4,False,,mobile,True,8,6
TXN1000113,C100694,order_1000113,4373.55,INR,upi,2026-06-16 19:22:54,success,,,,1,False,61.3,False,,mobile,False,19,1
TXN1000114,C100143,order_1000114,416.63,INR,upi,2026-06-29 06:23:23,failed,issuer_decline,issuer,authorization,2,True,89.0,False,,mobile,False,6,0
TXN1000115,C102119,order_1000115,4828.67,INR,card,2026-05-22 09:46:52,success,,,,1,False,46.4,False,,mobile,False,9,4
TXN1000116,C101341,order_1000116,4886.67,INR,upi,2026-01-07 03:40:33,success,,,,1,False,74.3,False,,desktop,False,3,2
TXN1000117,C101527,order_1000117,9736.94,INR,wallet,2026-03-22 03:32:02,abandoned,,,,1,True,73.7,False,,mobile,False,3,6
TXN1000118,C102079,order_1000118,5365.29,INR,upi,2026-05-29 10:49:05,failed,network_error,network,authorization,2,True,77.2,False,,desktop,True,10,4
TXN1000119,C101413,order_1000119,10909.37,INR,upi,2026-04-13 22:44:54,failed,limit_exceeded,customer,capture,1,True,61.8,False,,mobile,True,22,0
TXN1000120,C101990,order_1000120,3852.73,INR,upi,2026-04-01 18:27:58,failed,insufficient_funds,customer,authentication,1,True,171.4,False,,mobile,False,18,2
TXN1000121,C101495,order_1000121,8890.68,INR,card,2026-04-10 07:24:14,failed,technical_error,system,authentication,2,True,200.6,False,,mobile,False,7,4
TXN1000122,C100069,order_1000122,6241.04,INR,card,2026-02-10 20:49:35,success,,,,1,False,86.3,False,,mobile,False,20,1
TXN1000123,C102376,order_1000123,4818.04,INR,upi,2026-06-27 22:21:23,success,,,,1,False,37.4,False,,mobile,False,22,5
TXN1000124,C102398,order_1000124,8073.69,INR,card,2026-01-31 23:02:40,success,,,,1,False,44.2,False,,desktop,False,23,5
TXN1000125,C100689,order_1000125,5070.6,INR,card,2026-05-13 17:55:09,success,,,,1,False,74.4,False,,mobile,False,17,2
TXN1000126,C101626,order_1000126,4748.39,INR,wallet,2026-01-13 12:42:41,success,,,,1,False,5.0,False,,mobile,False,12,1
TXN1000127,C100308,order_1000127,7870.05,INR,upi,2026-04-07 00:41:24,abandoned,,,,1,True,101.3,False,,mobile,True,0,1
TXN1000128,C100712,order_1000128,3731.77,INR,upi,2026-06-27 09:46:43,failed,authentication_failed,customer,authorization,4,True,46.1,False,,mobile,False,9,5
TXN1000129,C101519,order_1000129,2157.89,INR,card,2026-04-27 05:10:11,success,,,,1,False,90.4,False,,mobile,True,5,0
TXN1000130,C100869,order_1000130,40959.38,INR,upi,2026-05-27 11:12:49,failed,technical_error,system,authentication,1,True,8.0,False,,mobile,False,11,2
TXN1000131,C102422,order_1000131,2840.26,INR,card,2026-06-22 11:09:58,success,,,,1,False,54.2,False,,tablet,False,11,0
TXN1000132,C100196,order_1000132,2302.38,INR,card,2026-04-16 07:22:20,success,,,,1,False,68.3,False,,mobile,False,7,3
TXN1000133,C101775,order_1000133,4010.31,INR,upi,2026-02-04 08:36:04,success,,,,1,False,44.7,False,,tablet,False,8,2
TXN1000134,C101531,order_1000134,1741.94,INR,upi,2026-05-04 19:25:05,failed,limit_exceeded,customer,authorization,2,True,137.2,False,,mobile,False,19,0
TXN1000135,C102230,order_1000135,1833.22,INR,upi,2026-06-19 16:52:17,failed,issuer_decline,issuer,authorization,2,True,140.2,False,,mobile,False,16,4
TXN1000136,C102022,order_1000136,10603.82,INR,card,2026-05-08 05:04:34,success,,,,1,False,5.0,False,,mobile,True,5,4
TXN1000137,C102240,order_1000137,4618.37,INR,card,2026-03-05 11:57:26,failed,network_error,network,payment_initiation,2,True,8.1,False,,mobile,False,11,3
TXN1000138,C101984,order_1000138,4224.03,INR,wallet,2026-02-05 19:07:52,failed,insufficient_funds,customer,capture,4,True,35.8,False,,mobile,False,19,3
TXN1000139,C100548,order_1000139,8921.26,INR,upi,2026-03-04 17:17:58,success,,,,1,False,15.3,False,,mobile,False,17,2
TXN1000140,C101061,order_1000140,2322.56,INR,card,2026-05-15 20:45:44,failed,authentication_failed,customer,authorization,2,True,8.0,False,,mobile,False,20,4
TXN1000141,C101713,order_1000141,4012.36,INR,card,2026-02-10 10:30:23,success,,,,1,False,59.2,False,,mobile,False,10,1
TXN1000142,C102497,order_1000142,3414.08,INR,card,2026-02-15 14:40:15,success,,,,1,False,93.8,False,,desktop,False,14,6
TXN1000143,C102155,order_1000143,8074.98,INR,upi,2026-03-05 18:05:30,success,,,,1,False,24.6,False,,mobile,False,18,3
TXN1000144,C101624,order_1000144,1790.45,INR,upi,2026-02-18 21:34:00,success,,,,1,False,45.9,False,,desktop,False,21,2
TXN1000145,C100253,order_1000145,3294.98,INR,upi,2026-04-02 02:02:17,failed,issuer_decline,issuer,authorization,3,True,8.0,False,,mobile,False,2,3
TXN1000146,C101052,order_1000146,1707.32,INR,card,2026-05-01 13:35:50,success,,,,1,False,74.8,False,,desktop,False,13,4
TXN1000147,C101628,order_1000147,906.21,INR,card,2026-01-31 18:05:26,success,,,,1,False,92.6,False,,mobile,False,18,5
TXN1000148,C101929,order_1000148,1779.67,INR,card,2026-05-28 04:50:42,success,,,,1,False,31.8,False,,mobile,False,4,3
TXN1000149,C100680,order_1000149,398.31,INR,wallet,2026-01-31 08:47:59,failed,insufficient_funds,customer,authentication,2,True,56.0,False,,desktop,False,8,5
TXN1000150,C101168,order_1000150,9462.07,INR,upi,2026-05-10 01:26:49,success,,,,1,False,104.8,False,,desktop,False,1,6
TXN1000151,C102054,order_1000151,72005.52,INR,upi,2026-02-21 20:04:18,failed,technical_error,system,authentication,2,True,133.0,False,,desktop,True,20,5
TXN1000152,C102084,order_1000152,3860.0,INR,upi,2026-04-17 22:40:24,success,,,,1,False,89.8,False,,tablet,False,22,4
TXN1000153,C100558,order_1000153,4809.88,INR,upi,2026-01-02 09:38:42,success,,,,1,False,93.6,False,,mobile,False,9,4
TXN1000154,C100634,order_1000154,2434.07,INR,upi,2026-02-01 11:30:57,success,,,,1,False,99.1,False,,mobile,True,11,6
TXN1000155,C100933,order_1000155,2956.83,INR,upi,2026-04-27 08:08:13,abandoned,,,,1,True,141.3,False,,desktop,False,8,0
TXN1000156,C101609,order_1000156,8849.58,INR,netbanking,2026-01-25 00:48:23,success,,,,1,False,31.1,False,,tablet,True,0,6
TXN1000157,C101691,order_1000157,11907.02,INR,upi,2026-02-06 05:25:56,success,,,,1,False,44.9,False,,mobile,False,5,4
TXN1000158,C101898,order_1000158,879.62,INR,netbanking,2026-05-17 01:25:58,success,,,,1,False,54.6,False,,mobile,True,1,6
TXN1000159,C101389,order_1000159,4493.23,INR,upi,2026-06-07 03:49:26,success,,,,1,False,5.0,False,,mobile,False,3,6
TXN1000160,C102294,order_1000160,3303.3,INR,card,2026-05-26 12:06:11,success,,,,1,False,86.0,False,,desktop,True,12,1
TXN1000161,C100299,order_1000161,2784.79,INR,card,2026-03-10 02:55:49,success,,,,1,False,100.0,False,,desktop,False,2,1
TXN1000162,C101311,order_1000162,24379.08,INR,upi,2026-04-14 08:36:27,failed,network_error,network,capture,3,True,92.4,False,,mobile,False,8,1
TXN1000163,C100563,order_1000163,4485.15,INR,upi,2026-03-23 20:48:56,abandoned,,,,1,True,8.0,False,,mobile,False,20,0
TXN1000164,C101347,order_1000164,6439.85,INR,card,2026-01-23 15:29:05,success,,,,1,False,72.7,False,,mobile,True,15,4
TXN1000165,C102214,order_1000165,37179.86,INR,netbanking,2026-06-17 01:00:29,success,,,,1,False,9.7,False,,desktop,False,1,2
TXN1000166,C102213,order_1000166,19784.82,INR,card,2026-05-20 18:22:00,success,,,,1,False,6.5,False,,tablet,False,18,2
TXN1000167,C102471,order_1000167,16745.69,INR,upi,2026-01-05 13:20:22,abandoned,,,,1,True,48.0,False,,mobile,False,13,0
TXN1000168,C101224,order_1000168,8420.57,INR,card,2026-01-02 20:16:25,success,,,,1,False,5.0,False,,mobile,True,20,4
TXN1000169,C101734,order_1000169,9388.17,INR,card,2026-05-08 07:56:27,success,,,,1,False,97.9,False,,mobile,False,7,4
TXN1000170,C101192,order_1000170,10981.94,INR,upi,2026-03-01 15:03:20,failed,authentication_failed,customer,authentication,1,True,97.3,False,,mobile,False,15,6
TXN1000171,C100024,order_1000171,2753.48,INR,netbanking,2026-04-02 01:07:47,success,,,,1,False,68.1,False,,mobile,False,1,3
TXN1000172,C100708,order_1000172,1865.77,INR,upi,2026-03-24 07:06:09,success,,,,1,False,66.4,False,,mobile,False,7,1
TXN1000173,C101858,order_1000173,2972.14,INR,upi,2026-04-25 13:55:08,subscription_failed,issuer_decline,issuer,authorization,3,True,33.3,True,pending,desktop,False,13,5
TXN1000174,C100134,order_1000174,7456.66,INR,card,2026-05-30 02:12:06,success,,,,1,False,5.0,False,,desktop,False,2,5
TXN1000175,C101607,order_1000175,5407.13,INR,upi,2026-06-24 14:38:24,success,,,,1,False,46.7,False,,mobile,False,14,2
TXN1000176,C101146,order_1000176,3266.34,INR,upi,2026-02-12 02:48:03,failed,issuer_decline,issuer,authorization,2,True,150.3,False,,mobile,False,2,3
TXN1000177,C101029,order_1000177,21518.29,INR,upi,2026-01-24 07:25:08,success,,,,1,False,72.9,False,,mobile,False,7,5
TXN1000178,C101838,order_1000178,3987.55,INR,netbanking,2026-02-21 13:37:16,success,,,,1,False,63.3,False,,mobile,False,13,5
TXN1000179,C100570,order_1000179,1495.59,INR,upi,2026-05-02 12:56:15,failed,network_error,network,authorization,3,True,205.1,False,,mobile,False,12,5
TXN1000180,C100647,order_1000180,984.18,INR,wallet,2026-02-22 17:04:34,failed,issuer_decline,issuer,authorization,2,True,196.4,False,,tablet,False,17,6
TXN1000181,C100414,order_1000181,3154.96,INR,netbanking,2026-05-07 19:04:30,failed,issuer_decline,issuer,authorization,1,True,135.4,False,,mobile,False,19,3
TXN1000182,C100271,order_1000182,1890.94,INR,upi,2026-02-07 18:42:18,success,,,,1,False,101.5,False,,desktop,False,18,5
TXN1000183,C100208,order_1000183,2524.85,INR,upi,2026-03-23 13:54:53,success,,,,1,False,36.0,False,,desktop,False,13,0
TXN1000184,C100259,order_1000184,37537.18,INR,card,2026-01-19 03:35:56,abandoned,,,,1,True,174.2,False,,mobile,False,3,0
TXN1000185,C101598,order_1000185,1567.84,INR,wallet,2026-02-02 07:31:29,failed,authentication_failed,customer,authentication,4,True,8.0,False,,desktop,True,7,0
TXN1000186,C100749,order_1000186,10428.12,INR,upi,2026-06-24 04:10:21,success,,,,1,False,81.5,False,,tablet,False,4,2
TXN1000187,C100843,order_1000187,3972.03,INR,upi,2026-01-31 23:17:22,failed,issuer_decline,issuer,authorization,1,True,64.6,False,,mobile,False,23,5
TXN1000188,C101882,order_1000188,5455.33,INR,upi,2026-03-18 08:17:59,success,,,,1,False,85.3,False,,mobile,False,8,2
TXN1000189,C101295,order_1000189,2764.55,INR,upi,2026-03-17 15:36:45,subscription_failed,network_error,network,authorization,1,True,173.5,True,halted,desktop,False,15,1
TXN1000190,C100193,order_1000190,3166.04,INR,upi,2026-05-05 05:41:01,failed,technical_error,system,authentication,1,True,8.0,False,,mobile,False,5,1
TXN1000191,C101313,order_1000191,2407.16,INR,upi,2026-05-02 12:44:55,abandoned,,,,1,True,194.7,False,,desktop,True,12,5
